Metrics,Dimensions
ga:users,ga:userType
ga:sessions,ga:sessionCount
ga:sessionDuration,ga:daysSinceLastSession
ga:percentNewSessions,ga:userDefinedValue
ga:pageviews,ga:userBucket
ga:pageValue,ga:sessionDurationBucket
ga:organicSearches,ga:referralPath
ga:newUsers,ga:fullReferrer
ga:goalXXValue,ga:campaign
ga:goalXXStarts,ga:source
ga:goalXXConversionRate,ga:medium
ga:goalXXCompletions,ga:sourceMedium
ga:goalXXAbandons,ga:keyword
ga:goalXXAbandonRate,ga:adContent
ga:goalValuePerSession,ga:socialNetwork
ga:entrances,ga:hasSocialSourceReferral
ga:entranceRate,ga:adGroup
ga:bounces,ga:adSlot
ga:bounceRate,ga:adDistributionNetwork
ga:avgSessionDuration,ga:adMatchType
ga:uniquePageviews,ga:adKeywordMatchType
ga:uniquePageviews,ga:adMatchedQuery
ga:timeOnPage,ga:adPlacementDomain
ga:timeOnPage,ga:adPlacementUrl
ga:searchUniques,ga:adFormat
ga:searchSessions,ga:adTargetingType
ga:searchResultViews,ga:adTargetingOption
ga:searchRefinements,ga:adDisplayUrl
ga:searchGoalConversionRateAll,ga:adDestinationUrl
ga:searchDepth,ga:adwordsCustomerID
ga:percentSessionsWithSearch,ga:adwordsCampaignID
ga:percentSearchRefinements,ga:adwordsAdGroupID
ga:pageviewsPerSession,ga:adwordsCreativeID
ga:exits,ga:adwordsCriteriaID
ga:exits,ga:adQueryWordCount
ga:exitRate,ga:goalCompletionLocation
ga:avgTimeOnPage,ga:goalPreviousStep1
ga:avgTimeOnPage,ga:goalPreviousStep2
ga:avgSearchResultViews,ga:goalPreviousStep3
ga:avgSearchDepth,ga:browser
ga:speedMetricsSample,ga:browserVersion
ga:serverResponseTime,ga:operatingSystem
ga:serverConnectionTime,ga:operatingSystemVersion
ga:redirectionTime,ga:mobileDeviceBranding
ga:pageLoadTime,ga:mobileDeviceModel
ga:pageLoadSample,ga:mobileInputSelector
ga:pageDownloadTime,ga:mobileDeviceInfo
ga:goalValueAllPerSearch,ga:mobileDeviceMarketingName
ga:domInteractiveTime,ga:deviceCategory
ga:domContentLoadedTime,ga:continent
ga:domainLookupTime,ga:subContinent
ga:avgServerResponseTime,ga:country
ga:avgServerConnectionTime,ga:region
ga:avgRedirectionTime,ga:metro
ga:avgPageLoadTime,ga:city
ga:avgPageDownloadTime,ga:latitude
ga:avgDomInteractiveTime,ga:longitude
ga:avgDomContentLoadedTime,ga:networkDomain
ga:avgDomainLookupTime,ga:networkLocation
ga:uniqueScreenviews,ga:flashVersion
ga:uniquePurchases,ga:javaEnabled
ga:uniqueEvents,ga:language
ga:uniqueDimensionCombinations,ga:screenColors
ga:transactionTax,ga:sourcePropertyDisplayName
ga:transactionsPerSession,ga:sourcePropertyTrackingId
ga:transactionShipping,ga:screenResolution
ga:transactions,ga:hostname
ga:transactionRevenuePerSession,ga:pagePath
ga:transactionRevenue,ga:pagePathLevel1
ga:totalValue,ga:pagePathLevel2
ga:timeOnScreen,ga:pagePathLevel3
ga:screenviewsPerSession,ga:pagePathLevel4
ga:screenviews,ga:pageTitle
ga:revenuePerTransaction,ga:landingPagePath
ga:revenuePerItem,ga:secondPagePath
ga:itemQuantity,ga:exitPagePath
ga:domLatencyMetricsSample,ga:previousPagePath
ga:avgScreenviewDuration,ga:pageDepth
ga:userTimingValue,ga:searchUsed
ga:userTimingSample,ga:searchKeyword
ga:uniqueSocialInteractions,ga:searchKeywordRefinement
ga:totalPublisherViewableImpressionsPercent,ga:searchCategory
ga:totalPublisherMonetizedPageviews,ga:searchStartPage
ga:totalPublisherImpressionsPerSession,ga:searchDestinationPage
ga:totalPublisherImpressions,ga:searchAfterDestinationPage
ga:totalPublisherCTR,ga:appInstallerId
ga:totalPublisherCoverage,ga:appVersion
ga:totalPublisherClicks,ga:appName
ga:socialInteractionsPerSession,ga:appId
ga:socialInteractions,ga:screenName
ga:localTransactionTax,ga:screenDepth
ga:localTransactionShipping,ga:landingScreenName
ga:localTransactionRevenue,ga:exitScreenName
ga:localItemRevenue,ga:eventCategory
ga:itemsPerPurchase,ga:eventAction
ga:itemRevenue,ga:eventLabel
ga:avgUserTimingValue,ga:transactionId
ga:totalPublisherRevenuePer1000Sessions,ga:affiliation
ga:totalPublisherRevenue,ga:sessionsToTransaction
ga:totalPublisherECPM,ga:daysToTransaction
ga:internalPromotionCTR,ga:productSku
ga:hits,ga:productName
ga:cohortSessionsPerUser,ga:productCategory
ga:cohortRevenuePerUser,ga:currencyCode
ga:cartToDetailRate,ga:socialInteractionNetwork
ga:buyToDetailRate,ga:socialInteractionAction
ga:adxViewableImpressionsPercent,ga:socialInteractionNetworkAction
ga:adxRevenuePer1000Sessions,ga:socialInteractionTarget
ga:adxRevenue,ga:socialEngagementType
ga:adxMonetizedPageviews,ga:userTimingCategory
ga:adxImpressionsPerSession,ga:userTimingLabel
ga:adxImpressions,ga:userTimingVariable
ga:adxECPM,ga:exceptionDescription
ga:adxCTR,ga:experimentId
ga:adxCoverage,ga:experimentVariant
ga:adxClicks,ga:dimensionXX
ga:refundAmount,ga:customVarNameXX
ga:quantityRemovedFromCart,ga:customVarValueXX
ga:quantityRefunded,ga:date
ga:quantityCheckedOut,ga:year
ga:quantityAddedToCart,ga:month
ga:productRevenuePerPurchase,ga:week
ga:productRemovesFromCart,ga:day
ga:productRefunds,ga:hour
ga:productRefundAmount,ga:minute
ga:productListViews,ga:nthMonth
ga:productListCTR,ga:nthWeek
ga:productListClicks,ga:nthDay
ga:productDetailViews,ga:nthMinute
ga:productCheckouts,ga:dayOfWeek
ga:productAddsToCart,ga:dayOfWeekName
ga:localRefundAmount,ga:dateHour
ga:localProductRefundAmount,ga:dateHourMinute
ga:internalPromotionViews,ga:yearMonth
ga:internalPromotionClicks,ga:yearWeek
ga:transactionsPerUser,ga:isoWeek
ga:totalRefunds,ga:isoYear
ga:sessionsPerUser,ga:isoYearIsoWeek
ga:revenuePerUser,ga:dcmClickAd
ga:totalEvents,ga:dcmClickAdId
ga:sessionsWithEvent,ga:dcmClickAdType
ga:searchGoalXXConversionRate,ga:dcmClickAdTypeId
ga:RPC,ga:dcmClickAdvertiser
ga:ROAS,ga:dcmClickAdvertiserId
ga:metricXX,ga:dcmClickCampaign
ga:impressions,ga:dcmClickCampaignId
ga:goalValueAll,ga:dcmClickCreativeId
ga:goalStartsAll,ga:dcmClickCreative
ga:goalConversionRateAll,ga:dcmClickRenderingId
ga:goalCompletionsAll,ga:dcmClickCreativeType
ga:goalAbandonsAll,ga:dcmClickCreativeTypeId
ga:goalAbandonRateAll,ga:dcmClickCreativeVersion
ga:fatalExceptionsPerScreenview,ga:dcmClickSite
ga:fatalExceptions,ga:dcmClickSiteId
ga:exceptionsPerScreenview,ga:dcmClickSitePlacement
ga:exceptions,ga:dcmClickSitePlacementId
ga:eventValue,ga:dcmClickSpotId
ga:eventsPerSessionWithEvent,ga:dcmFloodlightActivity
ga:dsRevenuePerClick,ga:dcmFloodlightActivityAndGroup
ga:dsReturnOnAdSpend,ga:dcmFloodlightActivityGroup
ga:dsProfit,ga:dcmFloodlightActivityGroupId
ga:dsImpressions,ga:dcmFloodlightActivityId
ga:dsCTR,ga:dcmFloodlightAdvertiserId
ga:dsCPC,ga:dcmFloodlightSpotId
ga:dsCost,ga:dcmLastEventAd
ga:dsClicks,ga:dcmLastEventAdId
ga:dfpViewableImpressionsPercent,ga:dcmLastEventAdType
ga:dfpRevenuePer1000Sessions,ga:dcmLastEventAdTypeId
ga:dfpRevenue,ga:dcmLastEventAdvertiser
ga:dfpMonetizedPageviews,ga:dcmLastEventAdvertiserId
ga:dfpImpressionsPerSession,ga:dcmLastEventAttributionType
ga:dfpImpressions,ga:dcmLastEventCampaign
ga:dfpECPM,ga:dcmLastEventCampaignId
ga:dfpCTR,ga:dcmLastEventCreativeId
ga:dfpCoverage,ga:dcmLastEventCreative
ga:dfpClicks,ga:dcmLastEventRenderingId
ga:dcmRPC,ga:dcmLastEventCreativeType
ga:dcmROAS,ga:dcmLastEventCreativeTypeId
ga:dcmImpressions,ga:dcmLastEventCreativeVersion
ga:dcmFloodlightRevenue,ga:dcmLastEventSite
ga:dcmFloodlightQuantity,ga:dcmLastEventSiteId
ga:dcmCTR,ga:dcmLastEventSitePlacement
ga:dcmCPC,ga:dcmLastEventSitePlacementId
ga:dcmCost,ga:dcmLastEventSpotId
ga:dcmClicks,ga:landingContentGroupXX
